ID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Reference,Flaechengewicht (kg/m2),Density (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil,GWPtotal
85c11207-15b5-40b6-9c04-59ecea9eb339,"Tectofin RV plus, Tectofin SK",'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen','DIN EN 15804+A2' / 'ISO 14025',RER,BMI Technical Services GmbH,EPD-BMI-20200177-IBA1-DE,1,qm,2.4,2.4,0.0026,,,,,,12.3963,,,,,,,,,,,,0.0,0.00573,6.23,0.0,-0.1966451,18.8418,18.63203
71e11da8-bb86-4eb3-ae59-fc2f3f33333d,Tensar® TriAx® geogrid ? TX130S,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-142-EN (Rev.1_20.05.2022),1,qm,0.18,,,,,,,0.366,,0.00737,0.0718,0.0224,0.0415,0.0,0.0,0.0,,,,,0.0681,0.00267,0.346,0.00683,0.001812,0.93045,0.93267
b5c0fc71-8be7-4ded-b147-a78fbc5530d5,Tensar® TriAx® geogrid ? TX140,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-143-EN (Rev.1_20.05.2022),1,qm,0.175,,0.0012,,,,,0.348,,0.00702,0.0572,0.0213,0.0389,0.0,0.0,0.0,,,,,0.0681,0.00254,0.329,0.00649,0.0017184,0.87745,0.87855
38a40eb5-e49d-41f9-a786-508e2da9a154,Tensar® TriAx® geogrid ? TX150,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-144-EN (Rev.1_20.05.2022),1,qm,0.205,,,,,,,0.394,,0.00803,0.0624,0.0241,0.0439,0.0,0.0,0.0,,,,,0.0681,0.00287,0.372,0.00735,0.0019514,0.98054,0.98275
072d6e2d-50a2-479d-87cf-f1e78d1f59d0,Tensar® TriAx® geogrid ? TX160,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-145-EN (Rev.1_20.05.2022),1,qm,0.22,,,,,,,0.462,,0.00932,0.0687,0.0282,0.0513,0.0,0.0,0.0,,,,,0.0681,0.00337,0.436,0.00861,0.0022683,1.13349,1.1356
beac529f-2b96-4173-97c7-d2ef9584baaf,Tensar® TriAx® geogrid ? TX170,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-146-EN (Rev.1_20.05.2022),1,qm,0.27,,,,,,,0.511,,0.0103,0.0767,0.0313,0.0568,0.0,0.0,0.0,,,,,0.0681,0.00373,0.483,0.00954,0.0025191,1.24816,1.25047
07cac697-7f6f-4c1a-9554-7d823bf39786,Tensar® TriAx® geogrid ? TX180,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-147-EN (Rev.1_20.05.2022),1,qm,0.315,,,,,,,0.627,,0.0126,0.0983,0.0383,0.0696,0.0,0.0,0.0,,,,,0.0681,0.00457,0.592,0.0117,0.0030806,1.51787,1.52217
e411f32f-b2b5-4185-becc-869ea985cdbd,Tensar® TriAx® geogrid ? TX190L,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-148-EN (Rev.1_20.05.2022),1,qm,0.3,,,,,,,0.633,,0.0128,0.0995,0.0387,0.0704,0.0,0.0,0.0,,,,,0.0681,0.00462,0.597,0.0118,0.0031138,1.53251,1.53592
8ebe2eda-c58f-48c0-8af4-18d81b1d195c,Tensar® TriAx® geogrid ? TX5,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-140-EN (Rev.1_20.05.2022),1,qm,0.205,,0.0012,,,,,0.376,,0.00765,0.117,0.023,0.0448,0.0,0.0,0.0,,,,,0.0681,0.00274,0.355,0.00701,0.0018877,0.9992,1.0013
6d265707-989e-4057-8fa0-da2a36829914,Tensar® TriAx® geogrid ? TX7,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','EN 15804+A2' / 'ISO 14025',GB,Tensar International Limited,EPD-TENSAR-141-EN (Rev.1_20.05.2022),1,qm,0.27,,0.002,,,,,0.543,,0.011,0.0781,0.0332,0.0601,0.0,0.0,0.0,,,,,0.0681,0.00396,0.513,0.0101,0.0026746,1.31846,1.32056
